[start] episodes=300
Episode 183/300, BossReward: 656.10, EnemyReward: 108.85, eps(B):0.01, eps(E):0.01
Episode 184/300, BossReward: 683.30, EnemyReward: 118.70, eps(B):0.01, eps(E):0.01
Episode 185/300, BossReward: 686.80, EnemyReward: 213.05, eps(B):0.01, eps(E):0.01
Episode 186/300, BossReward: 571.90, EnemyReward: 285.40, eps(B):0.01, eps(E):0.01
Episode 187/300, BossReward: 524.20, EnemyReward: 556.60, eps(B):0.01, eps(E):0.01
Episode 188/300, BossReward: -300.00, EnemyReward: 668.15, eps(B):0.01, eps(E):0.01
Episode 189/300, BossReward: 667.70, EnemyReward: 241.40, eps(B):0.01, eps(E):0.01
Episode 190/300, BossReward: 683.30, EnemyReward: 218.90, eps(B):0.01, eps(E):0.01
Episode 191/300, BossReward: 600.30, EnemyReward: 242.60, eps(B):0.01, eps(E):0.01
Episode 192/300, BossReward: 650.20, EnemyReward: 167.75, eps(B):0.01, eps(E):0.01
Episode 193/300, BossReward: 671.80, EnemyReward: 135.75, eps(B):0.01, eps(E):0.01
Episode 194/300, BossReward: -300.00, EnemyReward: 568.15, eps(B):0.01, eps(E):0.01
Episode 195/300, BossReward: 554.50, EnemyReward: 461.45, eps(B):0.01, eps(E):0.01
Episode 196/300, BossReward: 352.10, EnemyReward: 814.85, eps(B):0.01, eps(E):0.01
Episode 197/300, BossReward: 674.40, EnemyReward: 83.00, eps(B):0.01, eps(E):0.01
Episode 198/300, BossReward: 653.30, EnemyReward: 263.15, eps(B):0.01, eps(E):0.01
Episode 199/300, BossReward: 678.30, EnemyReward: 76.25, eps(B):0.01, eps(E):0.01
Episode 200/300, BossReward: 697.20, EnemyReward: 197.40, eps(B):0.01, eps(E):0.01
Episode 201/300, BossReward: 553.40, EnemyReward: 462.80, eps(B):0.01, eps(E):0.01
Episode 202/300, BossReward: 608.40, EnemyReward: 330.50, eps(B):0.01, eps(E):0.01
Episode 203/300, BossReward: 704.90, EnemyReward: 35.70, eps(B):0.01, eps(E):0.01
Episode 204/300, BossReward: 655.60, EnemyReward: 259.85, eps(B):0.01, eps(E):0.01
Episode 205/300, BossReward: 665.10, EnemyReward: 95.30, eps(B):0.01, eps(E):0.01
Episode 206/300, BossReward: 688.50, EnemyReward: 60.20, eps(B):0.01, eps(E):0.01
Episode 207/300, BossReward: 691.30, EnemyReward: 206.00, eps(B):0.01, eps(E):0.01
Episode 208/300, BossReward: 699.60, EnemyReward: 94.55, eps(B):0.01, eps(E):0.01
Episode 209/300, BossReward: 708.70, EnemyReward: 30.25, eps(B):0.01, eps(E):0.01
Episode 210/300, BossReward: 496.20, EnemyReward: 598.80, eps(B):0.01, eps(E):0.01
Episode 211/300, BossReward: 696.50, EnemyReward: 48.50, eps(B):0.01, eps(E):0.01
Episode 212/300, BossReward: 706.90, EnemyReward: 32.85, eps(B):0.01, eps(E):0.01
Episode 213/300, BossReward: 653.60, EnemyReward: 262.65, eps(B):0.01, eps(E):0.01
Episode 214/300, BossReward: 414.50, EnemyReward: 721.70, eps(B):0.01, eps(E):0.01
Episode 215/300, BossReward: 668.20, EnemyReward: 240.65, eps(B):0.01, eps(E):0.01
Episode 216/300, BossReward: 520.70, EnemyReward: 462.05, eps(B):0.01, eps(E):0.01
Episode 217/300, BossReward: 698.40, EnemyReward: 195.80, eps(B):0.01, eps(E):0.01
Episode 218/300, BossReward: 693.70, EnemyReward: 252.50, eps(B):0.01, eps(E):0.01
Episode 219/300, BossReward: 576.70, EnemyReward: 278.45, eps(B):0.01, eps(E):0.01
Episode 220/300, BossReward: 618.50, EnemyReward: 215.65, eps(B):0.01, eps(E):0.01
Episode 221/300, BossReward: 710.10, EnemyReward: 177.90, eps(B):0.01, eps(E):0.01
Episode 222/300, BossReward: 644.90, EnemyReward: 225.65, eps(B):0.01, eps(E):0.01
Episode 223/300, BossReward: 370.70, EnemyReward: 687.10, eps(B):0.01, eps(E):0.01
Episode 224/300, BossReward: 571.80, EnemyReward: 236.90, eps(B):0.01, eps(E):0.01
Episode 225/300, BossReward: 656.50, EnemyReward: 158.60, eps(B):0.01, eps(E):0.01
Episode 226/300, BossReward: 707.10, EnemyReward: 33.10, eps(B):0.01, eps(E):0.01
Episode 227/300, BossReward: 678.90, EnemyReward: 224.85, eps(B):0.01, eps(E):0.01
Episode 228/300, BossReward: 688.50, EnemyReward: 60.80, eps(B):0.01, eps(E):0.01
Episode 229/300, BossReward: 698.20, EnemyReward: 45.95, eps(B):0.01, eps(E):0.01
Episode 230/300, BossReward: 674.90, EnemyReward: 231.30, eps(B):0.01, eps(E):0.01
Episode 231/300, BossReward: 676.20, EnemyReward: 81.25, eps(B):0.01, eps(E):0.01
Episode 232/300, BossReward: 635.10, EnemyReward: 140.65, eps(B):0.01, eps(E):0.01
Episode 233/300, BossReward: 716.30, EnemyReward: 171.90, eps(B):0.01, eps(E):0.01
Episode 234/300, BossReward: 696.60, EnemyReward: 48.35, eps(B):0.01, eps(E):0.01
Episode 235/300, BossReward: 695.20, EnemyReward: 200.30, eps(B):0.01, eps(E):0.01
Episode 236/300, BossReward: 689.50, EnemyReward: 59.25, eps(B):0.01, eps(E):0.01
Episode 237/300, BossReward: 714.00, EnemyReward: 174.10, eps(B):0.01, eps(E):0.01
Episode 238/300, BossReward: 687.60, EnemyReward: 62.15, eps(B):0.01, eps(E):0.01
Episode 239/300, BossReward: 575.20, EnemyReward: 480.45, eps(B):0.01, eps(E):0.01
Episode 240/300, BossReward: 696.60, EnemyReward: 48.25, eps(B):0.01, eps(E):0.01
Episode 241/300, BossReward: 542.10, EnemyReward: 431.50, eps(B):0.01, eps(E):0.01
Episode 242/300, BossReward: 653.70, EnemyReward: 262.70, eps(B):0.01, eps(E):0.01
Episode 243/300, BossReward: 460.00, EnemyReward: 553.45, eps(B):0.01, eps(E):0.01
Episode 244/300, BossReward: -350.00, EnemyReward: 568.15, eps(B):0.01, eps(E):0.01
Episode 245/300, BossReward: 584.60, EnemyReward: 266.35, eps(B):0.01, eps(E):0.01
Episode 246/300, BossReward: 674.80, EnemyReward: 232.25, eps(B):0.01, eps(E):0.01
Episode 247/300, BossReward: 696.80, EnemyReward: 47.90, eps(B):0.01, eps(E):0.01
Episode 248/300, BossReward: 667.00, EnemyReward: 242.80, eps(B):0.01, eps(E):0.01
Episode 249/300, BossReward: 656.70, EnemyReward: 308.00, eps(B):0.01, eps(E):0.01
Episode 250/300, BossReward: 656.70, EnemyReward: 108.65, eps(B):0.01, eps(E):0.01
Episode 251/300, BossReward: 677.90, EnemyReward: 76.80, eps(B):0.01, eps(E):0.01
Episode 252/300, BossReward: 681.10, EnemyReward: 121.55, eps(B):0.01, eps(E):0.01
Episode 253/300, BossReward: 666.70, EnemyReward: 143.20, eps(B):0.01, eps(E):0.01
Episode 254/300, BossReward: 683.00, EnemyReward: 219.00, eps(B):0.01, eps(E):0.01
Episode 255/300, BossReward: 697.90, EnemyReward: 246.55, eps(B):0.01, eps(E):0.01
Episode 256/300, BossReward: 664.90, EnemyReward: 244.55, eps(B):0.01, eps(E):0.01
Episode 257/300, BossReward: 640.30, EnemyReward: 132.00, eps(B):0.01, eps(E):0.01
Episode 258/300, BossReward: 507.00, EnemyReward: 533.05, eps(B):0.01, eps(E):0.01
